course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg
"Castle Pines Golf Club",72,7981,511,208,0.38,0.09,0.13,-0.33,323.2,19.3,0.6338,0.007,-0.041,-0.004,0.097,34.6,0.48,0.49,0.4,0.0617,0.6351,-0.078,0.03,0.69,0.14,0.003,-0.12,-0.017,0.005,-0.003,0.017
"Ocean Course at Kiawah Island",72,7671,489,207,2.57,0.29,0.21,-0.17,293,17.9,0.5894,-0.005,-0.02,-0.056,-0.017,36.7,0.4,0.32,0.31,0.0616,0.532,-0.089,-0.044,0.65,0.08,-0.007,-0.04,-0.288,-0.007,-0.012,0.004
"Torrey Pines South (U.S. Open)",71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,28.9,0.3,0.27,0.33,0.0111,0.5615,-0.049,-0.017,0.15,0.01,0.005,-0.034,-0.021,-0.005,-0.025,-0.019
"Torrey Pines South (Genesis Inv.)",72,7599,488,190,1.11,0.12,0.17,-0.26,290.9,14.8,0.5366,-0.026,0.047,0.004,-0.052,27.8,0.32,0.28,0.3,0.0209,0.6151,0.009,0.002,0.29,0.04,0.068,0.022,0.058,-0.015,-0.065,-0.011
"Torrey Pines Golf Course (South Course)",72,7589,487,194,1.18,0.1,0.17,-0.24,289.7,15.7,0.5288,-0.02,0.005,0,-0.026,26.7,0.34,0.31,0.34,0.0172,0.6103,-0.011,0.005,0.19,0.02,0.026,-0.011,-0.002,-0.013,-0.047,-0.008
"Quail Hollow Club (PGA Championship)",71,7526,479,209,2.31,0.23,0.2,-0.28,296.9,18.7,0.5871,-0.018,-0.031,-0.024,0.038,31.2,0.41,0.34,0.38,0.0447,0.5399,-0.065,-0.013,0.43,0.03,-0.012,-0.089,0.007,-0.005,-0.036,-0.026
"Pinehurst Resort &amp; Country Club (Course No. 2)",70,7513,480,201,3.09,0.25,0.2,-0.15,294.7,18.2,0.6685,-0.006,-0.087,-0.028,0.037,35,0.39,null,0.37,0.0042,0.5317,-0.045,-0.023,0.03,0.01,-0.112,null,-0.042,0.001,-0.011,-0.014
"Augusta National Golf Club",72,7479,482,182,2,0.18,0.23,-0.24,294.4,20.9,0.7137,-0.023,-0.079,-0.055,0.019,52.2,0.37,0.25,0.42,0.0252,0.5782,-0.077,-0.047,0.54,0.04,-0.104,-0.022,-0.021,-0.004,-0.025,-0.056
"Crooked Stick GC",72,7474,478,195,-0.32,0.13,0.07,-0.38,284.2,16.1,0.6167,0.007,0.002,0.022,-0.006,35.2,0.33,0.22,0.37,0.0584,0.6416,0.014,0.025,0.51,0.07,0.008,-0.002,-0.002,0.006,0.012,0.004
"Medinah Country Club (No. 3)",72,7470,477,199,-1.16,0.05,0.01,-0.36,290.6,18.6,0.6228,0.009,0.033,0.021,0.016,28.1,0.34,0.35,0.22,0.0147,0.6695,0.012,0.025,0.24,0.04,0.023,0.001,0.107,0.009,0.022,-0.001
"Trump National Doral",72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046,35.9,0.36,0.29,0.32,0.0578,0.5948,-0.041,-0.06,0.92,0.15,0.018,-0.029,-0.006,0.007,0.015,0.006
"Caves Valley Golf Club",71,7428,470,210,-0.23,0.11,0.03,-0.33,293.1,17.3,0.6167,-0.005,-0.01,0.046,0.038,32.1,0.32,0.26,0.28,0.0186,0.6497,0.004,0.063,0.37,0.03,0.005,-0.058,0.036,-0.001,-0.016,-0.002
"Wilmington Country Club",71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,0.27,0.29,0.32,0,0.6523,-0.015,0.009,0.2,0.03,-0.009,-0.024,0.05,-0.001,0.03,0.001
"Quail Hollow Club",71,7418,474,194,0.96,0.15,0.13,-0.31,297,20,0.538,-0.009,0.004,-0.022,0.024,31.3,0.33,0.21,0.34,0.0419,0.5924,-0.036,-0.017,0.51,0.04,-0.006,0.016,0.011,0.001,-0.017,-0.022
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,44.2,0.28,0.25,0.23,0.0388,0.5363,-0.052,-0.027,0.41,0.01,-0.041,-0.04,-0.029,-0.005,-0.027,0
"Congressional CC (Blue)",71,7416,474,195,0.03,0,0.05,-0.19,288.1,17.1,0.5787,-0.008,0.026,0.041,0.015,26.7,0.31,0.26,0.5,0.0173,0.6881,0.053,0.036,0.39,0.02,0.03,0.029,0.017,0.001,-0.027,-0.008
"Valhalla Golf Club",71,7397,471,201,0.31,0.06,0.1,-0.33,282.3,14.9,0.6607,0.002,-0.007,0.02,-0.009,39.2,0.37,0.32,0.34,0.0409,0.6197,0.003,0.026,0.39,0.02,-0.007,-0.022,0.009,-0.002,-0.002,0.013
"Oakmont Country Club",70,7392,464,223,4.34,0.25,0.28,0.01,293.5,19.5,0.5439,-0.037,-0.115,-0.003,-0.041,28,0.6,0.56,0.67,0.0321,0.5734,-0.069,0.025,0.2,0.01,-0.036,-0.221,-0.088,-0.016,-0.078,-0.039
"Winged Foot GC",70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,0.3,0.35,0.41,0.0032,0.5063,-0.008,-0.018,0.05,0,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058
"Plantation Course at Kapalua",73,7371,453,190,-2.45,0.05,-0.05,-0.52,294.8,20.5,0.7021,-0.004,0.01,0.021,0.087,48.8,0.37,0.15,0.43,0.0641,0.767,0.001,0.034,0.39,0.08,0.003,0.025,0.01,0.001,-0.005,-0.012
"Muirfield Village Golf Club",72,7366,472,189,1.24,0.19,0.14,-0.22,286.2,16.9,0.6348,0.001,-0.055,-0.049,-0.018,33.7,0.47,0.44,0.39,0.0561,0.5758,-0.039,-0.054,0.7,0.07,-0.025,-0.09,-0.051,0.001,-0.001,0
"Congaree Golf Club",71,7364,473,188,0.08,0.1,0.05,-0.29,301.2,20.9,0.7075,-0.005,-0.041,-0.009,0.066,51.4,0.35,0.3,0.42,0.0346,0.6449,-0.025,-0.001,0.28,0.02,-0.047,-0.03,-0.053,0,-0.001,-0.02
"Shadow Creek Golf Course",72,7361,472,190,-0.09,0.1,0.07,-0.28,296.2,18.1,0.5289,0.006,-0.077,0.007,0.006,30.8,0.51,0.44,0.52,0.0411,0.63,0.002,0.01,0.52,0.14,-0.051,-0.091,-0.098,0.011,0.016,-0.015
"The Summit Club",72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056,37,0.34,0.16,0.41,0.0543,0.7235,0.09,0.082,0.44,0.03,0.054,0.084,-0.009,0,-0.003,0.004
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,30.6,0.44,0.35,0.53,0.0059,0.5818,-0.023,-0.028,0.08,0.03,-0.009,0.002,-0.005,-0.003,-0.023,-0.012
"Arnold Palmer's Bay Hill Club &amp; Lodge",72,7349,465,208,1.1,0.17,0.15,-0.28,281.7,18.4,0.603,-0.001,-0.005,-0.048,-0.036,34.1,0.41,0.36,0.3,0.0572,0.5727,-0.046,-0.048,0.67,0.15,0.004,-0.064,0.014,0.001,0.002,-0.006
"Oak Hill Country Club",70,7339,469,196,2.86,0.16,0.19,-0.03,288.5,20.6,0.4525,-0.005,-0.042,-0.015,-0.072,28,0.37,0.33,0.57,0.0358,0.5652,-0.001,-0.022,0.34,0.02,0.007,-0.082,-0.053,-0.004,-0.018,0.003
"Firestone CC (South)",70,7337,467,200,1.48,0.09,0.12,-0.18,298.8,22.1,0.4636,0.002,-0.005,-0.014,0.012,23.5,0.37,0.35,0.43,0.0013,0.5544,-0.041,0.005,0.15,0.03,-0.007,-0.002,-0.005,0.002,0.005,-0.001
"Vidanta Vallarta",71,7336,495,182,-1.41,0.01,0.02,-0.42,299.2,17.2,0.6586,0.006,0.057,0.022,0.031,41.4,0.32,0.2,0.4,0.0734,0.6786,0.044,0.016,0.57,0.04,0.04,0.091,0.026,0.001,0.007,0.013
"The Los Angeles Country Club (North Course)",70,7335,482,213,1.9,0.17,0.15,-0.17,294.8,19.7,0.6615,-0.015,-0.023,0.01,0.033,43,0.51,0.48,0.6,0.0097,0.6078,-0.04,0.035,0.08,0.02,-0.023,-0.05,-0.114,-0.001,-0.029,-0.026
"TPC San Antonio (Oaks Course)",72,7331,470,189,0.4,0.07,0.09,-0.2,290.8,18.9,0.547,-0.002,0.002,-0.03,-0.024,30.5,0.3,0.11,0.47,0.0228,0.5907,-0.039,-0.025,0.26,0.05,-0.004,0.053,-0.047,0.002,0.003,-0.013
